NU_Bank,Mercado_Pago,Brazil_Bank,Dollar_bank,Euro_bank,Valued_stuff,Dollar,Euro,Date,Obs
5001.75,5001.41,5321.88,0,0,10000.0,5.33,5.9220,2020-05-10,Bens=carro
5009.49,4998.25,6292.55,0,0,10000.0,5.46,6.1390,2020-06-10,Bens=carro
5016.26,5073.78,7503.07,0,0,10000.0,5.22,6.1523,2020-07-10,Bens=carro
5090.14,5081.18,6314.26,0,0,9500.0,5.49,6.5545,2020-08-10,Bens=carro
5098.19,5089.66,6635.05,0,0,9500.0,5.61,6.5752,2020-09-10,Bens=carro
5980.12,5154.26,7014.46,0,0,9500.0,5.74,6.6907,2020-10-10,Bens=carro
6001.71,6157.36,6559.36,0,0,9500.0,5.33,6.3599,2020-11-10,Bens=carro
6033.29,6464.76,5842.10,0,0,8000,5.19,6.3428,2020-12-10,Bens=carro
5580.22,6373.09,7056.96,0,0,9000,5.46,6.6293,2021-01-10,Bens=carro
4599.93,5571.15,651.41,0,0,19000.00,5.59,6.7597,2021-02-10,"Bens=carro, lote comprado por 7500 reais"
4684.70,5236.65,1060.51,0,0,19000.00,5.63,6.6046,2021-03-10,"Bens=carro, lote"
4653.58,5247.27,1400.52,0,0,19000.00,5.43,6.5337,2021-04-10,"Bens=carro, lote"
5310.51,5257.67,1352.93,0,0,19000.00,5.21,6.3780,2021-05-10,"Bens=carro, lote, Admob"
5372.46,5260.10,1723.98,0,0,19000.00,4.96,5.8903,2021-06-10,"Bens=carro, lote"
4989.55,5280.19,1277.66,0,0,19000.00,5.21,6.1870,2021-07-10,"Bens=carro, lote, mudan�a de casa e data de aluguel agora tamb�m � dia 10"
5175.39,5295.03,922.76,280.59,0,19000.00,5.24,6.0797,2021-08-10,"Gastos altos com o problema hepatico do Steve, venda do ar condicionado por 2 meses de aluguel, start conta bs2"
3666.37,4816.42,2504.3,280.59,0,19000.00,5.25,6.3033,2021-09-10,"Reflexo financeiro do tratamento do Steve, n�o recebi do adsense at� o dia 10 e primeiro m�s de aluguel sem pagar"
2482.47,4833,3507.05,683.61,0,19000.00,5.53,6.5172,2021-10-10,"Recibi do adsense depois do balaco do m�s passado, playstore baniu meus aplicativos e minha conta"
2602.56,4855.59,4031.41,854.12,0,19000.00,5.43,6.3753,2021-11-10,Ultimo recebimento do adsense
2602.56,4855.59,4031.41,854.12,0,19000.00,5.41,6.3323,2021-12-10,N�o foi poss�vel fazer o balan�o financeiro
3390.58,3899.68,13872.25,854.12,0,19000.00,5.63,5.9581,2022-01-10,"Recebi muito dinheiro do cnpq (descontei previs�o de gasto com passagem, seguro, etc e da devolula��o da bolsa CAPES)"
6000.00,6000.00,10070.22,854.12,0,19000.00,5.26,5.7889,2022-02-10,Descontei previs�o de gasto com passagem no valor de 5 mil
6000.00,6000.00,10070.22,854.12,0,19000.00,4.73,5.2432,2022-03-10,Nao foi poss�vel fazer o relat�rio. Muita correria na mudan�a para su��a
7672.89,7360.04,2579.10,854.12,0,11000.00,4.82,5.2411,2022-04-10,"Vendi todas minha a�oes com inten��o de aplicar em cripto, mas n�o saquei o dinheiro da corretora at� ent�o. Vendi o Uno mas ainda n�o recebi o valor dele."
13399.64,12029.28,2610.69,1004.57,0,12000.00,5.05,5.0776,2022-05-10,Acumulei economia de 4 meses de bolsa. Passarei um tempo sem entrada de dinheiro na poupan�a.
13476.31,12121.00,2627.43,1024.79,0,13000.00,5.07,5.5095,2022-06-10,Fiz os calculos antes de emprestar 1500 para minha mae
11806.66,12231.18,2644.74,1012.32,0,13000.00,5.39,5.2862,2022-07-10,Comeco em Leipzig. N�o deu para inserir dinheiro na conta em reais.
11806.66,12231.18,2644.74,1012.32,0,13000.00,5.40,5.2126,2022-08-10,N�o deu para inserir dinheiro na conta em reais.
11806.66,12231.18,2644.74,1012.32,0,13000.00,5.09,5.3066,2022-09-10,N�o deu para inserir dinheiro na conta em reais.
11806.66,12231.18,2644.74,1012.32,0,13000.00,5.22,5.1185,2022-10-10,N�o deu para inserir dinheiro na conta em reais.
11976.97,12623.15,4621.76,726.56,978.90,15000.00,5.10,5.06,2022-11-10,"Volta da Europa, meu or�amento est� uma bagun�a."
25810.54,14427.1,8576.29,726.56,899.22,15000.00,5.32,5.59,2022-12-10,IPAM me deu um dinheiro até o CNPq me pagar (dinheiro da passagem) e recebi o dinheiro do carro.
30662.80,19666.91,32.29,1439.74,49.22,15000.00,5.10,5.52,2023-01-10,Desloquei dinheiro de Euro para conta Nubank para aplicar em CDB.
30141.43,19646.34,32.53,1439.74,49.22,15000.00,5.13,5.53,2023-02-10,A conta chegou. Fatura super alta do cartão.
30945.63,19762.22,34.95,1147.74,49.22,15000.00,5.19,5.53,2023-03-10,Paguei o documento da moto do Godinho
